A-13-S61-P1,,A-13-S51-P1,,A-13-S41-P1,,A-13-S31-P1,,A-13-S21-P1,,A-13-S11-P1,,A-12-S71-P1,,A-12-S61-P1,,A-12-S51-P1,,A-12-S41-P1,,A-12-S31-P1,,A-12-S21-P1,,A-12-S11-P1,,A-11-S71-P1,,A-11-S61-P1,,A-11-S51-P1,,A-11-S41-P1,,A-11-S31-P1,,A-11-S21-P1,,A-11-S11-P1,,,A-21-S11-P1,,A-21-S21-P1,,A-21-S31-P1,,A-21-S41-P1,,A-21-S51-P1,,A-21-S61-P1,,A-21-S71-P1,,A-22-S11-P1,,A-22-S21-P1,,A-22-S31-P1,,A-22-S41-P1,,A-22-S51-P1,,A-22-S61-P1,,A-22-S71-P1,,A-23-S11-P1,,A-23-S21-P1,,A-23-S31-P1,,A-23-S41-P1,,A-23-S51-P1,,A-23-S61-P1
A-13-S61-P2,,A-13-S51-P2,,A-13-S41-P2,,A-13-S31-P2,,A-13-S21-P2,,A-13-S11-P2,,A-12-S71-P2,,A-12-S61-P2,,A-12-S51-P2,,A-12-S41-P2,,A-12-S31-P2,,A-12-S21-P2,,A-12-S11-P2,,A-11-S71-P2,,A-11-S61-P2,,A-11-S51-P2,,A-11-S41-P2,,A-11-S31-P2,,A-11-S21-P2,,A-11-S11-P2,,,A-21-S11-P2,,A-21-S21-P2,,A-21-S31-P2,,A-21-S41-P2,,A-21-S51-P2,,A-21-S61-P2,,A-21-S71-P2,,A-22-S11-P2,,A-22-S21-P2,,A-22-S31-P2,,A-22-S41-P2,,A-22-S51-P2,,A-22-S61-P2,,A-22-S71-P2,,A-23-S11-P2,,A-23-S21-P2,,A-23-S31-P2,,A-23-S41-P2,,A-23-S51-P2,,A-23-S61-P2
A-13-S61-P3,,A-13-S51-P3,,A-13-S41-P3,,A-13-S31-P3,,A-13-S21-P3,,A-13-S11-P3,,A-12-S71-P3,,A-12-S61-P3,,A-12-S51-P3,,A-12-S41-P3,,A-12-S31-P3,,A-12-S21-P3,,A-12-S11-P3,,A-11-S71-P3,,A-11-S61-P3,,A-11-S51-P3,,A-11-S41-P3,,A-11-S31-P3,,A-11-S21-P3,,A-11-S11-P3,,,A-21-S11-P3,,A-21-S21-P3,,A-21-S31-P3,,A-21-S41-P3,,A-21-S51-P3,,A-21-S61-P3,,A-21-S71-P3,,A-22-S11-P3,,A-22-S21-P3,,A-22-S31-P3,,A-22-S41-P3,,A-22-S51-P3,,A-22-S61-P3,,A-22-S71-P3,,A-23-S11-P3,,A-23-S21-P3,,A-23-S31-P3,,A-23-S41-P3,,A-23-S51-P3,,A-23-S61-P3
A-13-S61-P4,,A-13-S51-P4,,A-13-S41-P4,,A-13-S31-P4,,A-13-S21-P4,,A-13-S11-P4,,A-12-S71-P4,,A-12-S61-P4,,A-12-S51-P4,,A-12-S41-P4,,A-12-S31-P4,,A-12-S21-P4,,A-12-S11-P4,,A-11-S71-P4,,A-11-S61-P4,,A-11-S51-P4,,A-11-S41-P4,,A-11-S31-P4,,A-11-S21-P4,,A-11-S11-P4,,,A-21-S11-P4,,A-21-S21-P4,,A-21-S31-P4,,A-21-S41-P4,,A-21-S51-P4,,A-21-S61-P4,,A-21-S71-P4,,A-22-S11-P4,,A-22-S21-P4,,A-22-S31-P4,,A-22-S41-P4,,A-22-S51-P4,,A-22-S61-P4,,A-22-S71-P4,,A-23-S11-P4,,A-23-S21-P4,,A-23-S31-P4,,A-23-S41-P4,,A-23-S51-P4,,A-23-S61-P4
A-13-S61-P5,,A-13-S51-P5,,A-13-S41-P5,,A-13-S31-P5,,A-13-S21-P5,,A-13-S11-P5,,A-12-S71-P5,,A-12-S61-P5,,A-12-S51-P5,,A-12-S41-P5,,A-12-S31-P5,,A-12-S21-P5,,A-12-S11-P5,,A-11-S71-P5,,A-11-S61-P5,,A-11-S51-P5,,A-11-S41-P5,,A-11-S31-P5,,A-11-S21-P5,,A-11-S11-P5,,,A-21-S11-P5,,A-21-S21-P5,,A-21-S31-P5,,A-21-S41-P5,,A-21-S51-P5,,A-21-S61-P5,,A-21-S71-P5,,A-22-S11-P5,,A-22-S21-P5,,A-22-S31-P5,,A-22-S41-P5,,A-22-S51-P5,,A-22-S61-P5,,A-22-S71-P5,,A-23-S11-P5,,A-23-S21-P5,,A-23-S31-P5,,A-23-S41-P5,,A-23-S51-P5,,A-23-S61-P5
A-13-S61-P6,,A-13-S51-P6,,A-13-S41-P6,,A-13-S31-P6,,A-13-S21-P6,,A-13-S11-P6,,A-12-S71-P6,,A-12-S61-P6,,A-12-S51-P6,,A-12-S41-P6,,A-12-S31-P6,,A-12-S21-P6,,A-12-S11-P6,,A-11-S71-P6,,A-11-S61-P6,,A-11-S51-P6,,A-11-S41-P6,,A-11-S31-P6,,A-11-S21-P6,,A-11-S11-P6,,,A-21-S11-P6,,A-21-S21-P6,,A-21-S31-P6,,A-21-S41-P6,,A-21-S51-P6,,A-21-S61-P6,,A-21-S71-P6,,A-22-S11-P6,,A-22-S21-P6,,A-22-S31-P6,,A-22-S41-P6,,A-22-S51-P6,,A-22-S61-P6,,A-22-S71-P6,,A-23-S11-P6,,A-23-S21-P6,,A-23-S31-P6,,A-23-S41-P6,,A-23-S51-P6,,A-23-S61-P6
A-13-S61-P7,,A-13-S51-P7,,A-13-S41-P7,,A-13-S31-P7,,A-13-S21-P7,,A-13-S11-P7,,A-12-S71-P7,,A-12-S61-P7,,A-12-S51-P7,,A-12-S41-P7,,A-12-S31-P7,,A-12-S21-P7,,A-12-S11-P7,,A-11-S71-P7,,A-11-S61-P7,,A-11-S51-P7,,A-11-S41-P7,,A-11-S31-P7,,A-11-S21-P7,,A-11-S11-P7,,,A-21-S11-P7,,A-21-S21-P7,,A-21-S31-P7,,A-21-S41-P7,,A-21-S51-P7,,A-21-S61-P7,,A-21-S71-P7,,A-22-S11-P7,,A-22-S21-P7,,A-22-S31-P7,,A-22-S41-P7,,A-22-S51-P7,,A-22-S61-P7,,A-22-S71-P7,,A-23-S11-P7,,A-23-S21-P7,,A-23-S31-P7,,A-23-S41-P7,,A-23-S51-P7,,A-23-S61-P7
A-13-S61-P8,,A-13-S51-P8,,A-13-S41-P8,,A-13-S31-P8,,A-13-S21-P8,,A-13-S11-P8,,A-12-S71-P8,,A-12-S61-P8,,A-12-S51-P8,,A-12-S41-P8,,A-12-S31-P8,,A-12-S21-P8,,A-12-S11-P8,,A-11-S71-P8,,A-11-S61-P8,,A-11-S51-P8,,A-11-S41-P8,,A-11-S31-P8,,A-11-S21-P8,,A-11-S11-P8,,,A-21-S11-P8,,A-21-S21-P8,,A-21-S31-P8,,A-21-S41-P8,,A-21-S51-P8,,A-21-S61-P8,,A-21-S71-P8,,A-22-S11-P8,,A-22-S21-P8,,A-22-S31-P8,,A-22-S41-P8,,A-22-S51-P8,,A-22-S61-P8,,A-22-S71-P8,,A-23-S11-P8,,A-23-S21-P8,,A-23-S31-P8,,A-23-S41-P8,,A-23-S51-P8,,A-23-S61-P8
A-13-S61-P9,,A-13-S51-P9,,A-13-S41-P9,,A-13-S31-P9,,A-13-S21-P9,,A-13-S11-P9,,A-12-S71-P9,,A-12-S61-P9,,A-12-S51-P9,,A-12-S41-P9,,A-12-S31-P9,,A-12-S21-P9,,A-12-S11-P9,,A-11-S71-P9,,A-11-S61-P9,,A-11-S51-P9,,A-11-S41-P9,,A-11-S31-P9,,A-11-S21-P9,,A-11-S11-P9,,,A-21-S11-P9,,A-21-S21-P9,,A-21-S31-P9,,A-21-S41-P9,,A-21-S51-P9,,A-21-S61-P9,,A-21-S71-P9,,A-22-S11-P9,,A-22-S21-P9,,A-22-S31-P9,,A-22-S41-P9,,A-22-S51-P9,,A-22-S61-P9,,A-22-S71-P9,,A-23-S11-P9,,A-23-S21-P9,,A-23-S31-P9,,A-23-S41-P9,,A-23-S51-P9,,A-23-S61-P9
A-13-S61-P10,,A-13-S51-P10,,A-13-S41-P10,,A-13-S31-P10,,A-13-S21-P10,,A-13-S11-P10,,A-12-S71-P10,,A-12-S61-P10,,A-12-S51-P10,,A-12-S41-P10,,A-12-S31-P10,,A-12-S21-P10,,A-12-S11-P10,,A-11-S71-P10,,A-11-S61-P10,,A-11-S51-P10,,A-11-S41-P10,,A-11-S31-P10,,A-11-S21-P10,,A-11-S11-P10,,,A-21-S11-P10,,A-21-S21-P10,,A-21-S31-P10,,A-21-S41-P10,,A-21-S51-P10,,A-21-S61-P10,,A-21-S71-P10,,A-22-S11-P10,,A-22-S21-P10,,A-22-S31-P10,,A-22-S41-P10,,A-22-S51-P10,,A-22-S61-P10,,A-22-S71-P10,,A-23-S11-P10,,A-23-S21-P10,,A-23-S31-P10,,A-23-S41-P10,,A-23-S51-P10,,A-23-S61-P10
